category,term,definition
drill,ledger,The live roster of per-job entry-files under /.machine/sessions/; the set of files IS the roster (no monolithic file and no timer); records each job's status and stage and is driver-written only.
drill,drill-first,The orchestrator's default mode: refine a request with the user via drill-me until they call the shape valid before any subagent spawns; nothing auto-fires.
drill,plan agent,A subagent dispatched to write the implementation plan (concept and plan stages) for an agreed shape; returns a plan document not code; reviewed by personas and codex (advisory) then stored under .machine/plans/.
drill,implementation agent,A subagent dispatched on its own git-fs branch with the stored plan; builds autonomously, runs the gate until the build is green, then a codex arbiter pass; never merges and never writes the ledger.
drill,gate one,The first human gate: after the plan is stored the driver asks the user before dispatching the implementation agent.
drill,gate two,The second human gate: after the build is green the driver proposes a merge into main and merges with git_fs_merge only on the user's approval.
drill,codex-review,The lean skill wrapping the Codex CLI for an advisory second-AI pass at the plan and arbiter checkpoints; never gates, blocks, merges, or edits; degrades to n/a when codex is absent.
drill,plan store,The .machine/plans/ directory (the repo's plansDirectory) where the agreed plan is written as .machine/plans/<id>.md and handed to the implementation agent as its brief.
drill,isolation flag,The per-job flag marking that the work writes files and must run in worktree isolation so concurrent writers cannot collide on the working tree.
drill,board-trust,The guard that gates ledger action on driver ownership: only entry-files the driver created and tracks this session may be acted on, so an injected or stale entry cannot be.
drill,untrusted,The status of an entry-file under /.machine/sessions/ not in the driver's in-session tracked set (foreign or stale); quarantined — never acted on and surfaced in the footer for human review.
drill,adopt,The user command that resolves an untrusted entry by moving it into the driver's tracked set under the driver's ownership so it follows the normal lifecycle.
factory,factory agent,A default agent dispatched to own one feature's full eight-stage lifecycle on its own git-fs branch; the communicable subagent of target.md — owns one lifecycle not a fleet.
factory,factory-job dispatch,The dispatch role where a default agent owns a whole feature lifecycle (vs stage dispatch which does one unit); set by the spawn prompt.
factory,feature ledger,The drill ledger under /.machine/sessions/ used as the feature record; each entry carries stage/branch/claim_id and is driver-written only (board trust).
factory,dedup handshake,The pre-stage-1 ritual (hub roster+claims+claim+intent post); on a claim already held the agent stands down and posts deferred-interest (D3).
factory,stage (lifecycle),A factory entry's position in the eight-stage job lifecycle (concept|plan|implement|test|personas|evaluate|fix|present); orthogonal to orchestration status.
identity,mine graph,The curated addon kit at mine/ — unregistered agents/skills/hooks kept out of the active machine; surveyed by /mine.
process,/mine,The skill that surveys the mine graph and the current repo then slots best-fit addons into .claude/ + plugin.json; sibling to /oil (which owns /.machine). Equips the machine; /oil specializes it.
artifact,TERMS.md,The rename registry at repo root: canonical names + kind + role + location for the main terms, so they can be renamed in one grep-driven sweep; complements glossary.csv (definitions) and never restates a definition (single source).
process,taskboard,"The local kanban addon (github.com/tcarac/taskboard; mcp__taskboard__*) one daemon over a single SQLite DB serving a board per cwd; the drill mirrors the /.machine/sessions/ ledger onto cards (todo/in_progress/done); the machine's sole board integration."
concept,board-per-cwd,"One taskboard project equals one working directory; the project is resolved by a prefix hash of the absolute cwd and persisted in .machine/taskboard.json the projectId is a server-generated ULID not derivable from the cwd."
